Australia,79.5,79,83,84.6
Austria,78.7,80,80.6,81
Belgium,81.6,80.7,82.2,85
Canada,83,83,85.8,87.1
China,38.3,42.3,45.8,49.3
Denmark,89.8,92.3,94.6,96
Fiji,28,33.7,37.1,41.8
Germany,81.3,82.3,84.2,86.2
Greece,51.6,55.1,59.9,63.2
Iceland,94.8,96.2,96.5,98.2
Ireland,74.9,76.9,78.2,79.7
Jamaica,37.4,33.8,37.1,40.5
Korea,83.8,84.1,84.8,84.3
Netherlands,91.4,92.9,94,93.2
UK,85.4,87.5,89.8,91.6
